filename,cohort,group_id,animal_ch0,cohort_ch0,group_ch0,animal_ch1,cohort_ch1,group_ch1,animal_ch2,cohort_ch2,group_ch2,animal_ch3,cohort_ch3,group_ch3,animal_ch4,cohort_ch4,group_ch4,animal_ch5,cohort_ch5,group_ch5,animal_ch6,cohort_ch6,group_ch6,animal_ch7,cohort_ch7,group_ch7
Day 3-20231011(11).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(12).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(13).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(14).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(15).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(16).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(1).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(2).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(3).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(4).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(5).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(6).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(7).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(8).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011(9).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 3-20231011Sel.edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(10).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(11).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(12).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(13).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(14).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(15).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(16).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(17).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(18).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(19).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(1).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
Day 4-20231012(2).edf,batch 1,,355676,,Control,355679,,Control,355668,,SV2A,355670,,SV2A,355675,,Control,355673,,SV2A,355669,,SV2A,355677,,SV2A
